time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1705852802637267500,2885.2392673339846,45,1.5,1.1780880689620972,16.856000900268555,1.812671422958374,183.60414123535156,100.59669705203945,2.314563,48.8390468
1705852803233108000,2885.8351079101562,45,1.5,1.213202953338623,16.719999313354492,1.814911127090454,183.6385955810547,100.63575988003377,2.3145628,48.8390364
1705852803758317800,2886.3603178710937,45,1.5,1.213202953338623,16.94700050354004,1.8185279369354248,183.72463989257812,100.63575988003377,2.3145628,48.8390301
1705852804288652300,2886.89065234375,45,1.5,1.2106146812438965,16.66200065612793,1.8237097263336182,183.85121154785156,100.74012586088617,2.3145615,48.8390192
1705852804858234400,2887.460234375,45,1.5,1.2106146812438965,16.839000701904297,1.8298840522766113,184.13038635253906,100.74012586088617,2.3145604,48.8390132
1705852805461479200,2888.063479248047,45,1.5,1.208014726638794,17.19099998474121,1.814283013343811,184.94247436523438,100.7538233189099,2.3145585,48.8390016
1705852805967008300,2888.569008300781,45,1.5,1.2123973369598389,17.722000122070312,1.7798134088516235,186.81471252441406,100.73809660973347,2.3145539,48.8389987
1705852806517023200,2889.119023193359,45,1.5,1.2123973369598389,18.514999389648438,1.746170997619629,188.84205627441406,100.73809660973347,2.3145458,48.838989
1705852807103436500,2889.7054365234376,45,1.5,1.2096729278564453,18.448999404907227,1.7310974597930908,190.99143981933594,100.7538233189099,2.3145391,48.8389846
1705852807669357000,2890.2713571777344,45,1.5,1.2398604154586792,18.371999740600586,1.7170103788375854,193.26295471191406,100.65148652408817,2.3145285,48.8389739
1705852808257467400,2890.8594672851564,45,1.5,1.2398604154586792,18.31100082397461,1.717179536819458,194.77230834960938,100.65148652408817,2.3145232,48.8389692
1705852808862676700,2891.4646767578124,45,1.5,1.2508227825164795,18.073999404907227,1.7180707454681396,196.31114196777344,100.69359348930269,2.3145144,48.8389584
1705852809397798100,2891.999798095703,45,1.5,1.2508227825164795,17.996999740600586,1.7237858772277832,197.97593688964844,100.69359348930269,2.3145056,48.8389513
1705852809918220800,2892.520220703125,45,1.5,1.2618978023529053,17.92300033569336,1.729899287223816,199.67628479003906,100.65148652408817,2.3144949,48.8389421
1705852810504634400,2893.106634277344,45,1.5,1.2618978023529053,17.76799964904785,1.734487771987915,201.16995239257812,100.65148652408817,2.3144826,48.8389331
1705852811091047700,2893.6930476074217,45,1.5,1.2770828008651733,17.58300018310547,1.7538437843322754,202.00648498535156,100.65655964131402,2.3144688,48.8389195
1705852811659949000,2894.2619489746094,45,1.5,1.2770828008651733,17.548999786376953,1.7726802825927734,202.8211669921875,100.65655964131402,2.3144581,48.8389109
1705852812263874600,2894.8658745117186,45,1.5,1.2861350774765015,17.476999282836914,1.7891830205917358,203.52737426757812,100.87927248818255,2.3144433,48.8388956
1705852812818541600,2895.4205415039064,45,1.5,1.2861350774765015,17.547000885009766,1.804901123046875,204.1880340576172,100.87927248818255,2.3144321,48.8388863
1705852813319419000,2895.9214189453123,45,1.5,1.1807363033294678,17.476999282836914,1.8245450258255005,204.5131072998047,101.51685864228902,2.3144182,48.8388709
1705852813905832200,2896.5078322753907,45,1.5,1.1992026567459106,17.448999404907227,1.8447498083114624,204.81248474121094,101.51685864228902,2.3144072,48.8388602
1705852814492245800,2897.0942458496093,45,1.5,1.1992026567459106,17.509000778198242,1.8586204051971436,204.8729248046875,101.51685864228902,2.3143951,48.8388463
1705852814998975200,2897.600975341797,45,1.5,1.1992026567459106,17.591999053955078,1.8711555004119873,204.73904418945312,101.51685864228902,2.3143873,48.8388363
1705852815547796200,2898.149796142578,45,1.5,1.2149450778961182,17.749000549316406,1.885074257850647,204.7610321044922,101.56251894431513,2.3143759,48.838821
1705852816098233600,2898.700233642578,45,1.5,1.2126835584640503,17.839000701904297,1.907670259475708,203.95985412597656,101.55541621446747,2.3143714,48.8388106
1705852816603340500,2899.2053405761717,45,1.5,1.2126835584640503,18.097999572753906,1.9287586212158203,203.13258361816406,101.55541621446747,2.3143638,48.8387944
1705852817189754000,2899.7917541503907,45,1.5,1.2244364023208618,18.176000595092773,1.9396473169326782,202.4020538330078,101.70558948776934,2.31436,48.838784
1705852817776167700,2900.3781677246093,45,1.5,1.2244364023208618,18.327999114990234,1.9469026327133179,201.4032440185547,101.70558948776934,2.3143539,48.8387674
1705852818358790400,2900.960790283203,45,1.5,1.2432527542114258,18.42799949645996,1.9545518159866333,200.47702026367188,101.7040674479686,2.3143518,48.8387576
1705852818948994800,2901.550994873047,45,1.5,1.253321886062622,18.740999221801758,1.9558062553405762,199.15655517578125,101.53765941595933,2.3143488,48.8387437
1705852819476604400,2902.0786044921874,45,1.5,1.253321886062622,18.85700035095215,1.9622161388397217,198.43667602539062,101.53765941595933,2.314344,48.8387314
1705852820004539100,2902.6065390625,45,1.5,1.2632865905761719,19.030000686645508,1.8837411403656006,198.56417846679688,101.59448130248062,2.3143359,48.8387206
1705852820598185200,2903.2001853027346,45,1.5,1.2632865905761719,19.077999114990234,1.815765380859375,198.68353271484375,101.59448130248062,2.3143304,48.8387153
